Thời gian crawl dữ liệu,Tên mã chứng khoán,Cập nhật,Giá kết thúc phiên,Giá so với tham chiếu,Khối lượng,Giá tham chiếu,Giá trần,Giá sàn,Giá mở cửa,Giá cao nhất,Giá thấp nhất,KLGD ròng,GT mua,GT bán,Room còn lại
2025-07-06 19:00:52.256820,FPT,"15:15 T6, 04/07/2025",122.50,4.5 (3.81%),"12,825,000",118,126.2,109.8,118.5,123.4,118.4,"3,782,807",562.54 (Tỷ),99.14 (Tỷ),8.08 (%)
2025-07-06 19:07:10.274928,FPT,"15:15 T6, 04/07/2025",122.50,4.5 (3.81%),"12,825,000",118,126.2,109.8,118.5,123.4,118.4,"3,782,807",562.54 (Tỷ),99.14 (Tỷ),8.08 (%)
2025-07-07 21:16:42.595280,FPT,"15:15 T2, 07/07/2025",123.80,1.3 (1.06%),"6,382,800",122.5,131,114,123.3,124.7,123,"2,324,347",494.76 (Tỷ),207.01 (Tỷ),8.18 (%)
2025-07-08 14:36:05.109979,FPT,"14:36 T3, 08/07/2025",124.90,1.1 (0.89%),"7,615,700",123.8,132.4,115.2,124.1,125.7,124,"3,978,108",496.87 (Tỷ),156.11 (Tỷ),7.99 (%)
2025-07-09 07:06:20.364270,FPT,"15:15 T3, 08/07/2025",124.50,0.7 (0.57%),"8,063,100",123.8,132.4,115.2,124.1,125.7,124,"2,769,668",531.52 (Tỷ),186.69 (Tỷ),7.80 (%)
2025-07-10 00:09:32.873769,FPT,"15:15 T4, 09/07/2025",122.80,-1.7 (-1.37%),"12,184,000",124.5,133.2,115.8,124.8,124.9,122.3,"-681,797",491.48 (Tỷ),575.21 (Tỷ),8.04 (%)
