Thời gian crawl dữ liệu,Tên mã chứng khoán,Cập nhật,Giá kết thúc phiên,Giá so với tham chiếu,Khối lượng,Giá tham chiếu,Giá trần,Giá sàn,Giá mở cửa,Giá cao nhất,Giá thấp nhất,KLGD ròng,GT mua,GT bán,Room còn lại
2025-07-06 18:00:11.619612,VCG,"15:15 T6, 04/07/2025",22.85,-0.15 (-0.65%),"9,553,200",23,24.6,21.4,23.25,23.5,22.7,"-1,107,500",5.04 (Tỷ),30.34 (Tỷ),37.74 (%)
2025-07-06 18:03:54.033100,VCG,"15:15 T6, 04/07/2025",22.85,-0.15 (-0.65%),"9,553,200",23,24.6,21.4,23.25,23.5,22.7,"-1,107,500",5.04 (Tỷ),30.34 (Tỷ),37.74 (%)
2025-07-06 18:41:24.797550,VCG,"15:15 T6, 04/07/2025",22.85,-0.15 (-0.65%),"9,553,200",23,24.6,21.4,23.25,23.5,22.7,"-1,107,500",5.04 (Tỷ),30.34 (Tỷ),37.74 (%)
2025-07-06 18:44:50.614955,VCG,"15:15 T6, 04/07/2025",22.85,-0.15 (-0.65%),"9,553,200",23,24.6,21.4,23.25,23.5,22.7,"-1,107,500",5.04 (Tỷ),30.34 (Tỷ),37.74 (%)
2025-07-06 19:01:32.200520,VCG,"15:15 T6, 04/07/2025",22.85,-0.15 (-0.65%),"9,553,200",23,24.6,21.4,23.25,23.5,22.7,"-1,107,500",5.04 (Tỷ),30.34 (Tỷ),37.74 (%)
2025-07-06 19:02:03.739045,VCG,"15:15 T6, 04/07/2025",22.85,-0.15 (-0.65%),"9,553,200",23,24.6,21.4,23.25,23.5,22.7,"-1,107,500",5.04 (Tỷ),30.34 (Tỷ),37.74 (%)
2025-07-06 19:07:06.732784,VCG,"15:15 T6, 04/07/2025",22.85,-0.15 (-0.65%),"9,553,200",23,24.6,21.4,23.25,23.5,22.7,"-1,107,500",5.04 (Tỷ),30.34 (Tỷ),37.74 (%)
2025-07-07 21:16:37.633722,VCG,"15:15 T2, 07/07/2025",22.90,0.05 (0.22%),"8,033,000",22.85,24.4,21.3,23,23,22.75,"-262,000",2.77 (Tỷ),8.77 (Tỷ),37.61 (%)
